Index	Label	Letter	Url
0	1	a	http://djrwagner.mymom.info/forw
1	1	a	http://claudia-brenner.ath.cx/forw
2	1	a	https://rocketpoolloghn.webflow.io
3	1	a	https://dappsfixed-web3.pages.dev/rep/
4	1	a	https://dappsfixed-web3.pages.dev/rep
5	1	a	http://allegrollokalnie.487457823.xyz/captcha
6	1	a	https://cloudflare-ipfs.com/ipfs/bafybeigm57glbokrr573ykcn5wyk3jhdaj2fsso5tqnf3wivewrsx2ql6a/fgvvmn87v.html
7	1	a	https://allegrollokalnie.487457823.xyz
8	1	a	https://allegrolokalne.pl-190219390.icu
9	1	a	https://rb.gy/n5hzs6
10	1	a	https://rectification-web3.pages.dev/rep/
11	1	a	http://rectification-web3.pages.dev/rep/
12	1	a	https://racepoint-netlify.pages.dev/rep/
13	1	a	http://racepoint-netlify.pages.dev/rep/
14	1	a	https://www.skdesign.ae/fonts/jakl/home/?particulier
15	1	a	https://lnfo-lt.com/prlvatebanklng.lnfo-lt.com
16	1	a	https://bamob56402.wixsite.com/my-site
17	1	a	https://dotaplusgift.com
18	1	a	https://djwer1.wixsite.com/my-site-1
19	1	a	https://mmapplicationshub.pages.dev/
20	1	a	http://mmapplicationshub.pages.dev
21	1	a	http://tzwsfcwrrv.duckdns.org
22	1	a	http://tsvsjgpkjm.duckdns.org
23	1	a	http://tqrqfbwscd.duckdns.org
24	1	a	http://tpkezugavs.duckdns.org
25	1	a	https://workflowy.com/s/bt-mail-voice-mail/o4ou3RDjpuyLxYJu
26	1	a	http://tfzxrnkevb.duckdns.org
27	1	a	http://swspokgfcw.duckdns.org
28	1	a	http://ssrmkgawoa.duckdns.org
29	1	a	https://10e050b.wcomhost.com/impots-gouv/imp-log.php
30	1	a	https://businessbtsecure-comauth.webflow.io/
31	1	a	https://us22.list-manage.com/survey?u=ef3147602146f2c2b26fdd7ef&id=f0643e684d
32	1	a	https://new.express.adobe.com/webpage/Pw2UfErn91hTC
33	1	a	https://swisspassinfoservice.sviluppo.host/v3/oevlogin/ui/app/auth/flow/swisspass-login-uid-pw-rem/auth/Entry.php
34	1	a	https://darling-cheesecake-c3a406.netlify.app
35	1	a	https://que.garciadogshow.com/fw43/app/login.php
36	1	a	https://rcq.vvg.mybluehost.me/BRT/myBRT/home/paket.php
37	1	a	https://patriziapatrizia.s3.us-east-005.backblazeb2.com/itt.html
38	1	a	https://t.co/IvaLzXQbSr
39	1	a	https://kreixmp.cn/
40	1	a	https://wadeheld-abry.ourhobby.com/
41	1	a	https://gruporad.com.br/SBB/login.php
42	1	a	https://pub-d603c924b2094d6883f06a98fe26ea5c.r2.dev/Alldomain-index.html
43	1	a	https://pub-2181880fed354825aabfd62eb79d0daf.r2.dev/do.html
44	1	a	https://workspace33399932.pages.dev/
45	1	a	https://niketflix.netlify.app/
46	1	a	http://vfmucta.cn/?index=950
47	1	a	https://metraemask.azurewebsites.net/
48	1	a	https://wallet-metamasnnt.webflow.io/
49	1	a	https://fluorescent-pyrite-tabletop.glitch.me/elf.html
50	1	a	http://vn7wtb.cn/?index=236
51	1	a	https://nonstop-bush-persimmon.glitch.me/public/nf00.HTM
52	1	a	https://purple573796.studio.site/
53	1	a	https://pub-4afcebadca53479e83f9e7d4bae6d5a6.r2.dev/indexjs.html
54	1	a	https://tokyo-tpeco.4gaslps.com/
55	1	a	https://www-diepost.co/de/receive/247803
56	1	a	https://swisspassinfoservice.sviluppo.host/v3/oevlogin/ui/app/auth/flow/swisspass-login-uid-pw-rem/auth
57	1	a	http://mail-servicos-terra-newls.ny-2.paas.massivegrid.net/contato1
58	1	a	https://mail-servicos-terra-newls.ny-2.paas.massivegrid.net/contato1
59	1	a	https://mail-servicos-terra-newls.ny-2.paas.massivegrid.net/contato1/index.html
60	1	a	http://mail-servicos-terra-newls.ny-2.paas.massivegrid.net/contato1/index.html
